datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 15:52:40.617700,P14,EMBODIED,2,1,low
2023-08-18 15:53:29.351834,P14,EMBODIED,2,2,low
2023-08-18 15:54:18.371910,P14,EMBODIED,2,3,low
2023-08-18 15:55:17.843914,P14,EMBODIED,2,4,low
2023-08-18 15:56:03.454669,P14,EMBODIED,2,5,low
2023-08-18 15:56:50.842104,P14,EMBODIED,2,6,low
2023-08-18 15:57:59.689302,P14,EMBODIED,2,7,low
2023-08-18 15:58:45.579152,P14,EMBODIED,2,8,low
2023-08-18 15:59:31.295596,P14,EMBODIED,2,9,low
2023-08-18 16:00:14.598423,P14,EMBODIED,2,10,low
